2009;17.01.2009;04.03.2009;"Bickel Susanne/Gamma Claudia/Jorand Georgia/Paulin-Grothe Elina/Sartori  Nicolas";"26/30";;1. Kampagne
2010;10.01.2010;23.02.2010;"Faried Adrom/Tanja Alsheimer/Susanne Bickel/Claudia Gamma/Florence Mauric-Barberio/Elina Paulin-Grothe/Sheila Ruch";"17/18/26/29/30/31/40/59";;2. Kampagne (Informationen Kampagnendauer aus Grabungstagebuch!)
2011;07.01.2011;15.04.2011;"Faried Adrom/Tanja Alsheimer/Susanne Bickel/Claudia Gamma/Elina Paulin-Grothe/Frederik Rogner/Stephanie Vieli";"29/31/40/59/64";;3. Kampagne
2012;07.01.2012;15.04.2012;"Susanne Bickel/Elina Paulin-Grothe/Tanja Alsheimer/Faried Adrom/Hans-Hubertus Münch/Claudia Gamma/Stephanie Vieli/Salome Keller/Erico Peintner/Agnieszka Wos-Jucker/Salima Ikram/Frank Rühli/Matjaž Kačičnik";"31/33/40/64";;4. Kampagne
2013;13.01.2013;01.03.2013;"Susanne Bickel/Elina Paulin-Grothe/Tanja Alsheimer/Agnieszka Wos-Jucker/Erico Peintner/Matjaž Kačičnik/Frank Rühli/Faried Adrom/David Aston/Claudia Gamma/Charlotte Hunkeler/Nadine Meier/Yasmin Müller/Hans-Hubertus Münch/Daniel Reber/Frederik Rogner";"26/31/33/40/59/64 ";KV 29-61;5. Kampagne
2013-2014;11.01.2014 (November 2013)/24.03.2014/"Susanne Bickel/Elina Paulin-Grothe/Tanja Alsheimer/Agnieszka Wos-Jucker/Erico Peintner/Matjaž Kačičnik/Faried Adrom/David Aston/Miriam Hauser/Salima Ikram/Nadine Meier/Yasmin Müller/Hans-Hubertus Münch/Daniel Reber/Katharina Vogt/Frank Rühli";"30/31/33/36/40/59/64";;"6. Kampagne, im Bericht steht 'November 2013' und 'April 2014' - ?? Angaben aus Tagebüchern übernommen."
2014-2015;"November 2014 (reassembling pottery 40, main season early Januara)11.01.2015";24.03.2015;"Susanne Bickel/Elina Paulin-Grothe/Tanja Alsheimer/Agnieszka Wos-Jucker/Erico Peintner/Matjaž Kačičnik/Faried Adrom/David Aston/Claudia Gamma/Miriam Hauser/Florence Mauric-Barberio/Nadine Meier/Yasmin Müller/Hans-Hubertus Münch/Daniel Reber/Stephanie Vieli/Christiane Jacquat/Rim Hamdy/Frank Ruehli/Roger Seiler/Lena Öhrström/Liliane Seiler/Nakita Frater/Sabrina Meyer";"17/31/36/40/64";40-64;"7. Kampagne, Tagebücher nur teilweise vorhanden, genaue Daten aus Tagebüchern entnommen, im offiziellen Bericht nur ungefähre Angaben"
2015-2016;31.10.2015;10.03.2016;"Susanne Bickel/Elina Paulin-Grothe/Tanja Alsheimer/Agnieszka Wos-Jucker/Erico Peintner/Matjaž Kačičnik/Faried Adrom/David Aston/Charlotte Hunkeler/Florence Mauric-Barberio/Nadine Meier/Yasmin Müller/Hans-Hubertus Münch/Frank Ruehli/Roger Seiler/Liliane Seiler/Nakita Frater/Sabrina Meyer";"17/29/30/38/40/64";26-40;8. Kampagne
2016-2017;12.11.2016;20.03.2017;"Susanne Bickel/Elina Paulin-Grothe/Faried Adrom/Tanja Alsheimer/David Aston/Ludovic Bellot-Gurlet/Abigel Bouwman/Emanuele Casini/Marina Estermann/Yehia Gad/Charlotte Hunkeler/Salima Ikram/Somaia Ismail/Christiane Jacquat/Matjac Kacicnik/Khairat Rabab/Iwona Kozieradzka-Ogunmakin/Mathieu Lebon/Mahmoud Ibrahim/Florence Mauric-Barberio/Irina Morossova/Hans-Hubertus Münch/Erico Peintner/Anita Quiles/Daniel Reber/Frank Rühli/Agnieszka Wos-Jucker";"17/32/37/38/40";26-59;9. Kampagne
2017-2018;12.11.2017;07.04.2018;"Susanne Bickel/Elina Paulin-Grothe/Faried Adrom/David Aston/Emanuele Casini/Andreas Dorn/Marina Estermann/Sandra Gubler/Charlotte Hunkeler/Salima Ikram/Christiane Jacquat/Matjaž Kačičnik/Mahmoud Ibrahim/Florence Mauric-Barberio/Yasmin Müller/Erico Peintner/Daniel Reber/Lukas Richner/Agnieszka Wos-Jucker";"17/37/40/64/61";"17/26-59";10. Kampagne
